Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,White,,,43,,,,,14:9859092#White;200000124:200000338;200007763:201336100,0.0,shopify,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/13f5c97b6b29400da75275cb533c10f9.webp?v=1748112613,6,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/5b281dd593b54310b02ceae49bfb0d18.webp?v=1748112621,lb,,10.92,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Gray,,,40,,,,,14:48622057#Gray;200000124:100013888;200007763:201336100,0.0,shopify,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/69d348387c844700b7cbb46b07bd6b80.webp?v=1748112613,7,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/65ec094d643e4f88b1009d76144ad810.webp?v=1748112621,lb,,10.63,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Gray,,,41,,,,,14:48622057#Gray;200000124:100010483;200007763:201336100,0.0,shopify,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/b408b3c3815f4009a39cc59b70a0fc79.webp?v=1748112613,8,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/8068b0ccf8a94c86a1dbdfa4437c2b36.webp?v=1748112621,lb,,10.92,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Gray,,,42,,,,,14:48622057#Gray;200000124:200000337;200007763:201336100,0.0,shopify,deny,manual,21.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/ceffd415dd0c47a5b885f182ba70243e.webp?v=1748112613,9,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/87899966ed08451f8ab0938672ac5d9e.webp?v=1748112621,lb,,11.08,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Gray,,,38,,,,,14:48622057#Gray;200000124:200000898;200007763:201336100,0.0,shopify,deny,manual,19.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/1e3843564d864a96bf8ad75a28944a23.webp?v=1748112613,10,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/5b79ba836f7141a9a3cd8281273ae32e.webp?v=1748112621,lb,,9.78,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Gray,,,43,,,,,14:48622057#Gray;200000124:200000338;200007763:201336100,0.0,shopify,deny,manual,21.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/24836455c7c94f2486a0512c8852acdf.webp?v=1748112613,11,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/2bd47d3cde1146be9af862b9b45fd596.webp?v=1748112621,lb,,11.86,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Navy Blue,,,37,,,,,14:1745#Navy Blue;200000124:100010482;200007763:201336100,0.0,shopify,deny,manual,19.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/dfcfcea30c214f98a3e1e9fe300b5af7.webp?v=1748112613,12,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/2856bda8353648a8af7ad10db832277c.webp?v=1748112621,lb,,9.64,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Gray,,,39,,,,,14:48622057#Gray;200000124:200000364;200007763:201336100,0.0,shopify,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/d53663406f9c455a881021bca7e46899.webp?v=1748112613,13,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/eae9f2532b9d4331a43f6891a54cbe27.webp?v=1748112621,lb,,10.00,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Black,,,42,,,,,14:771#Black;200000124:200000337;200007763:201336100,0.0,shopify,deny,manual,21.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/2b86359abc1f49f2819790dc07c0d786.webp?v=1748112621,14,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/5bbf27af69864c288fec636ac27ea898.webp?v=1748112621,lb,,11.15,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Navy Blue,,,36,,,,,14:1745#Navy Blue;200000124:200000334;200007763:201336100,0.0,shopify,deny,manual,19.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/eb9696de37e444d0bc97565f6c102d14.webp?v=1748112621,15,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/6989bdfd4864455099e3bb710d0c5fbe.webp?v=1748112621,lb,,9.49,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Black,,,40,,,,,14:771#Black;200000124:100013888;200007763:201336100,0.0,shopify,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/fd15fd41b09c42238afa50b0bef9d58f.webp?v=1748112621,16,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/70e0ebc9ecc1421f8300f18d6077d8b2.webp?v=1748112621,lb,,10.63,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Navy Blue,,,42,,,,,14:1745#Navy Blue;200000124:200000337;200007763:201336100,0.0,shopify,deny,manual,21.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/1108d8ae44ef449fa57d1857a86de785.webp?v=1748112621,17,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/afce48de0b1948ce8da46874c8066c2a.webp?v=1748112621,lb,,11.13,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Navy Blue,,,43,,,,,14:1745#Navy Blue;200000124:200000338;200007763:201336100,0.0,shopify,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/7fe9027c4a4e43d2b843c32a75ad7183.webp?v=1748112621,18,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/258d97d7a3af42a1bb15b9292ea0d1c8.webp?v=1748112621,lb,,10.92,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Navy Blue,,,41,,,,,14:1745#Navy Blue;200000124:100010483;200007763:201336100,0.0,shopify,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/5b281dd593b54310b02ceae49bfb0d18.webp?v=1748112621,19,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/f84e383f31f446969316928517bc2607.webp?v=1748112621,lb,,10.89,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Black,,,38,,,,,14:771#Black;200000124:200000898;200007763:201336100,0.0,shopify,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/65ec094d643e4f88b1009d76144ad810.webp?v=1748112621,20,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/063d52aeaddd4efaa601aa96f04ce431.webp?v=1748112621,lb,,10.22,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,White,,,37,,,,,14:9859092#White;200000124:100010482;200007763:201336100,0.0,shopify,deny,manual,19.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/8068b0ccf8a94c86a1dbdfa4437c2b36.webp?v=1748112621,21,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/6a7accef97b54b02b6e1c2fe85bd4f8d.webp?v=1748112621,lb,,9.78,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Black,,,41,,,,,14:771#Black;200000124:100010483;200007763:201336100,0.0,shopify,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/87899966ed08451f8ab0938672ac5d9e.webp?v=1748112621,22,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/de6dc1370a3f42ae8d5a5c699433b2ba.webp?v=1748112621,lb,,10.81,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Black,,,39,,,,,14:771#Black;200000124:200000364;200007763:201336100,0.0,shopify,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/5b79ba836f7141a9a3cd8281273ae32e.webp?v=1748112621,23,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/009a92f02a334b85bf1d621c9c608ac9.webp?v=1748112621,lb,,10.06,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Black,,,37,,,,,14:771#Black;200000124:100010482;200007763:201336100,0.0,shopify,deny,manual,19.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/2bd47d3cde1146be9af862b9b45fd596.webp?v=1748112621,24,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/024d79070b284216980b5fe30a8c4d93.webp?v=1748112621,lb,,9.52,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Navy Blue,,,40,,,,,14:1745#Navy Blue;200000124:100013888;200007763:201336100,0.0,shopify,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/2856bda8353648a8af7ad10db832277c.webp?v=1748112621,25,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/ef08ef6a24a347ce83572fcc6b01ab70.webp?v=1748112621,lb,,10.78,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Navy Blue,,,39,,,,,14:1745#Navy Blue;200000124:200000364;200007763:201336100,0.0,shopify,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/eae9f2532b9d4331a43f6891a54cbe27.webp?v=1748112621,26,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/5d3cc073758b4917a295fbe5231eae36.webp?v=1748112621,lb,,10.17,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Navy Blue,,,38,,,,,14:1745#Navy Blue;200000124:200000898;200007763:201336100,0.0,shopify,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/5bbf27af69864c288fec636ac27ea898.webp?v=1748112621,27,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/b321e665895f43a6a12e99d14407ad11.webp?v=1748112621,lb,,10.14,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Black,,,36,,,,,14:771#Black;200000124:200000334;200007763:201336100,0.0,shopify,deny,manual,19.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/6989bdfd4864455099e3bb710d0c5fbe.webp?v=1748112621,28,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/1caac278adba41a08f01572317abc363.webp?v=1748112621,lb,,9.09,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Light Khaki,,,43,,,,,14:200004870#Light Khaki;200000124:200000338;200007763:201336100,0.0,shopify,deny,manual,21.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/70e0ebc9ecc1421f8300f18d6077d8b2.webp?v=1748112621,29,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/870659c3ad8142d991d865f34216c968.webp?v=1748112621,lb,,11.67,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Light Khaki,,,40,,,,,14:200004870#Light Khaki;200000124:100013888;200007763:201336100,0.0,shopify,deny,manual,19.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/afce48de0b1948ce8da46874c8066c2a.webp?v=1748112621,30,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/b8e3dfb80f99490ea5100af512be3998.webp?v=1748112621,lb,,9.78,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Light Khaki,,,41,,,,,14:200004870#Light Khaki;200000124:100010483;200007763:201336100,0.0,shopify,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/258d97d7a3af42a1bb15b9292ea0d1c8.webp?v=1748112621,31,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/a615f68b4a2c4d2193faf9b129b02325.webp?v=1748112621,lb,,10.57,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Light Khaki,,,42,,,,,14:200004870#Light Khaki;200000124:200000337;200007763:201336100,0.0,shopify,deny,manual,21.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/f84e383f31f446969316928517bc2607.webp?v=1748112621,32,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/b3c64894b1a340fb8c78c5ea5eb84da3.webp?v=1748112621,lb,,11.05,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Light Khaki,,,38,,,,,14:200004870#Light Khaki;200000124:200000898;200007763:201336100,0.0,shopify,deny,manual,19.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/063d52aeaddd4efaa601aa96f04ce431.webp?v=1748112621,33,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/1aed6cb19934455fbcba0ffd70a20c9c.webp?v=1748112621,lb,,9.78,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Khaki,,,36,,,,,14:88490676#Khaki;200000124:200000334;200007763:201336100,0.0,shopify,deny,manual,19.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/6a7accef97b54b02b6e1c2fe85bd4f8d.webp?v=1748112621,34,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/45f8bd1aeb554f63afb7b7242955dd4a.webp?v=1748112621,lb,,9.36,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,White,,,40,,,,,14:9859092#White;200000124:100013888;200007763:201336100,0.0,shopify,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/de6dc1370a3f42ae8d5a5c699433b2ba.webp?v=1748112621,35,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/a7253beb3ec542b0a8708ddec166a248.webp?v=1748112621,lb,,10.63,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,White,,,38,,,,,14:9859092#White;200000124:200000898;200007763:201336100,0.0,shopify,deny,manual,19.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/009a92f02a334b85bf1d621c9c608ac9.webp?v=1748112621,36,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/bf6f506636be4d2cb6aeba4b464c1bed.webp?v=1748112621,lb,,9.77,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Light Khaki,,,39,,,,,14:200004870#Light Khaki;200000124:200000364;200007763:201336100,0.0,shopify,deny,manual,19.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/024d79070b284216980b5fe30a8c4d93.webp?v=1748112621,37,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/3974a293a38f406cb2e87a47c3bc049c.webp?v=1748112621,lb,,9.98,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Purple,,,36,,,,,14:365615#Purple;200000124:200000334;200007763:201336100,0.0,shopify,deny,manual,19.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/ef08ef6a24a347ce83572fcc6b01ab70.webp?v=1748112621,38,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/4abd9146a1dd4abbad2e6782b5b6b038.webp?v=1748112621,lb,,9.78,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Purple,,,37,,,,,14:365615#Purple;200000124:100010482;200007763:201336100,0.0,shopify,deny,manual,19.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/5d3cc073758b4917a295fbe5231eae36.webp?v=1748112621,39,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/87cfb2ca34704dfa9c70e658c3542161.webp?v=1748112621,lb,,9.58,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Khaki,,,43,,,,,14:88490676#Khaki;200000124:200000338;200007763:201336100,0.0,shopify,deny,manual,21.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/b321e665895f43a6a12e99d14407ad11.webp?v=1748112621,40,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/8fd577de88fe4c679c2f2665ed6eb3bd.webp?v=1748112621,lb,,11.38,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Khaki,,,42,,,,,14:88490676#Khaki;200000124:200000337;200007763:201336100,0.0,shopify,deny,manual,21.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/1caac278adba41a08f01572317abc363.webp?v=1748112621,41,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/dd92942e82a9416dbefbc2c1551b5a9b.webp?v=1748112621,lb,,11.08,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Khaki,,,41,,,,,14:88490676#Khaki;200000124:100010483;200007763:201336100,0.0,shopify,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/870659c3ad8142d991d865f34216c968.webp?v=1748112621,42,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/2ebc3fe56a864addad6fb993302ffb14.webp?v=1748112621,lb,,10.83,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Khaki,,,38,,,,,14:88490676#Khaki;200000124:200000898;200007763:201336100,0.0,shopify,deny,manual,19.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/b8e3dfb80f99490ea5100af512be3998.webp?v=1748112621,43,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/5d85cebd0c5c4332b267bee41bbb6517.webp?v=1748112621,lb,,9.78,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Khaki,,,40,,,,,14:88490676#Khaki;200000124:100013888;200007763:201336100,0.0,shopify,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/a615f68b4a2c4d2193faf9b129b02325.webp?v=1748112621,44,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/4f3d04b29a0e4595934525e528a24290.webp?v=1748112621,lb,,10.76,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Light Khaki,,,36,,,,,14:200004870#Light Khaki;200000124:200000334;200007763:201336100,0.0,shopify,deny,manual,19.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/b3c64894b1a340fb8c78c5ea5eb84da3.webp?v=1748112621,45,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/19eb28fc16a34b5a9672412f05ae7246.webp?v=1748112621,lb,,9.36,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Khaki,,,39,,,,,14:88490676#Khaki;200000124:200000364;200007763:201336100,0.0,shopify,deny,manual,19.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/1aed6cb19934455fbcba0ffd70a20c9c.webp?v=1748112621,46,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/2b7471488c16481ca8dd07ce62c91dce.webp?v=1748112621,lb,,9.78,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Purple,,,42,,,,,14:365615#Purple;200000124:200000337;200007763:201336100,0.0,shopify,deny,manual,21.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/45f8bd1aeb554f63afb7b7242955dd4a.webp?v=1748112621,47,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/d2cad26cab084fdd99b9627efd95c39c.webp?v=1748112621,lb,,11.11,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Purple,,,43,,,,,14:365615#Purple;200000124:200000338;200007763:201336100,0.0,shopify,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/a7253beb3ec542b0a8708ddec166a248.webp?v=1748112621,48,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/c82f41307e754ccb863afaa7a7cfd86d.webp?v=1748112621,lb,,10.92,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Light Khaki,,,37,,,,,14:200004870#Light Khaki;200000124:100010482;200007763:201336100,0.0,shopify,deny,manual,19.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/bf6f506636be4d2cb6aeba4b464c1bed.webp?v=1748112621,49,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/3668757618584802adf5d78c5f056af8.webp?v=1748112621,lb,,9.52,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Purple,,,38,,,,,14:365615#Purple;200000124:200000898;200007763:201336100,0.0,shopify,deny,manual,19.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/3974a293a38f406cb2e87a47c3bc049c.webp?v=1748112621,50,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/e42713e3c67745a1b8edfad1d7219f07.webp?v=1748112621,lb,,9.88,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Purple,,,41,,,,,14:365615#Purple;200000124:100010483;200007763:201336100,0.0,shopify,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/4abd9146a1dd4abbad2e6782b5b6b038.webp?v=1748112621,51,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/d6593d4bcb8d433eb6c087a1b5d9704a.webp?v=1748112621,lb,,10.67,
eyriphy-orthopedic-sandals-for-women-recovery-flip-flops-pillow-lightweight-non-slips-summer-women-beach-shoes-with-arch-support,,,,,,,,,Purple,,,39,,,,,14:365615#Purple;200000124:200000364;200007763:201336100,0.0,shopify,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/87cfb2ca34704dfa9c70e658c3542161.webp?v=1748112621,52,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/f6a6fc703f8f4dafaca4220c0bb69f53.webp?v=1748112621,lb,,10.01,
